,Year,Age,Sex,Mean,SD,M3,M4
405,1998,12,Male,44.9,9.94,1.09275470067188,4.99797510011865
406,1998,12,Female,44.9,8.51,0.983045485386322,5.1906971412178
407,1998,13,Male,50.2,10.34,1.09299225570046,5.30787499822904
408,1998,13,Female,48.3,8.2,1.12380856022216,5.76642282500987
409,1998,14,Male,55.2,10.42,1.25850411786645,6.20249860516115
410,1998,14,Female,50.6,7.86,1.29703810013809,6.92292461066499
411,1998,15,Male,59.7,11.07,1.41450492459596,6.42752946996795
412,1998,15,Female,52.1,8.01,1.27431965023977,6.51064593698976
413,1998,16,Male,61.3,10.34,1.45457599363823,6.6540187897573
414,1998,16,Female,53.1,7.87,1.37168788304406,7.16064976117956
415,1998,17,Male,62.7,10.35,1.55720449135375,7.40537673014344
416,1998,17,Female,53.1,7.91,1.42643474227108,7.51061017040011
417,1999,5,Male,19.2,2.84,1.4535799333542,8.16644456694183
418,1999,5,Female,18.8,2.72,1.37212157571052,8.82147074407203
419,1999,6,Male,21.7,3.64,1.65877790117618,8.22449938470769
420,1999,6,Female,21.3,3.45,1.41333254386378,6.8273979813038
421,1999,7,Male,24.4,4.38,1.6072092725069,7.62792595922655
422,1999,7,Female,23.8,4.11,1.43454622386905,6.79550043882406
423,1999,8,Male,27.7,5.55,1.62420237212613,7.16046796552124
424,1999,8,Female,27,5.14,1.47648101768763,6.73870306591681
425,1999,9,Male,31.2,6.7,1.51297599091856,6.38538876126034
426,1999,9,Female,30.7,6.37,1.32508241214137,5.63363810669228
427,1999,10,Male,35.1,7.98,1.40806015868416,5.66500319028072
428,1999,10,Female,34.9,7.45,1.18854027496829,5.57994415250879
429,1999,11,Male,39.3,8.95,1.20835570303509,5.06177324065239
430,1999,11,Female,40,8.28,1.00548492428366,5.15553363554851
431,1999,12,Male,45.1,10.19,1.16103132133248,5.34603801993064
432,1999,12,Female,45.1,8.59,0.954497044582975,4.99233417442709
433,1999,13,Male,50.2,10.37,1.1167580897707,5.5010727742046
434,1999,13,Female,48.2,8.21,1.1666571287013,6.06341663311878
435,1999,14,Male,55.3,10.54,1.28393597298563,6.13871343696013
436,1999,14,Female,50.7,7.88,1.21563692408101,6.4392485501607
437,1999,15,Male,59.3,10.75,1.36535216623323,6.18066422445244
438,1999,15,Female,52.2,8.36,1.42813414966199,7.192999510847
439,1999,16,Male,61.1,10.09,1.4534992452866,6.80459772217144
440,1999,16,Female,53.1,8.05,1.3846420916652,7.19793823973596
441,1999,17,Male,62.4,10.14,1.51692591165952,7.19163439705513
442,1999,17,Female,53.1,7.95,1.3282399204207,6.80912300233963
443,2000,5,Male,19.2,2.81,1.60202276560503,9.40400345749267
444,2000,5,Female,18.8,2.69,1.3154891318272,7.92918440033569
445,2000,6,Male,21.8,3.78,1.76254257816746,8.55807172258212
446,2000,6,Female,21.3,3.55,1.60885519321407,8.54898549406123
447,2000,7,Male,24.4,4.42,1.76242756688912,8.46457952827862
448,2000,7,Female,23.8,4.22,1.57926407858855,7.44589090141726
449,2000,8,Male,27.7,5.63,1.81822143245601,8.94162292918466
450,2000,8,Female,27,5.26,1.51257009582312,6.90998737881814
451,2000,9,Male,31.2,6.83,1.5150657573599,6.3989929809251
452,2000,9,Female,30.7,6.41,1.29702405898593,5.43704744187986
453,2000,10,Male,35.1,7.94,1.44528785849129,6.0891125890135
454,2000,10,Female,34.9,7.51,1.09034849087594,4.82084900141816
455,2000,11,Male,39.4,9.15,1.31123006687385,5.60168096944491
456,2000,11,Female,40.1,8.35,0.979573522224158,4.94158133870947
457,2000,12,Male,45.4,10.39,1.18851095793602,5.38412539632539
458,2000,12,Female,45,8.59,1.00462126390008,5.32482245292249
459,2000,13,Male,50.4,10.48,1.05916054355807,5.08149384796652
460,2000,13,Female,48.3,8.24,1.32906589346034,7.21002746025153
461,2000,14,Male,55.4,10.34,1.23874252948517,6.12500323161267
462,2000,14,Female,50.7,7.95,1.18394006693105,6.17477925186317
463,2000,15,Male,59.7,10.83,1.34737981231237,5.90557945712699
464,2000,15,Female,52.1,8.26,1.29019056036177,6.26813597511866
465,2000,16,Male,61.2,10.13,1.49052072839091,7.06383830468931
466,2000,16,Female,53,7.81,1.23670527646823,6.28516373110898
467,2000,17,Male,62.6,10.32,1.5608644107862,7.47711622930366
468,2000,17,Female,53.1,7.89,1.29255474350506,6.72990140385786
469,2001,5,Male,19.2,2.76,1.44157841006112,8.33090671561813
470,2001,5,Female,18.8,2.72,1.28004234968887,7.15924358643594
471,2001,6,Male,21.7,3.68,1.78392051763734,9.22379453090978
472,2001,6,Female,21.2,3.45,1.39207231526601,6.91667439544818
473,2001,7,Male,24.3,4.42,1.73456014460983,8.1334225106457
474,2001,7,Female,23.7,4.08,1.52627136139448,7.64166942982616
475,2001,8,Male,27.6,5.57,1.70978334001232,8.08279095557505
476,2001,8,Female,26.9,5.16,1.43474175514123,6.37461130204334
477,2001,9,Male,31.1,6.81,1.57825674656811,6.92631624340742
478,2001,9,Female,30.5,6.36,1.34088052907369,5.82850072888678
479,2001,10,Male,35,7.99,1.44066422671379,6.10776988806833
480,2001,10,Female,34.7,7.29,1.12354043476669,5.02356779789534
481,2001,11,Male,39.5,9.25,1.23775795373127,5.12183173910588
482,2001,11,Female,40.1,8.35,0.928141245609022,4.43349530477872
483,2001,12,Male,45.4,10.46,1.10622847641111,4.8735661036295
484,2001,12,Female,44.9,8.61,0.996548676854165,5.28911085224989
485,2001,13,Male,50.6,10.64,1.10432364777213,5.35445464756938
486,2001,13,Female,48.3,8.37,1.24437266255886,6.79831713545154
487,2001,14,Male,55.5,10.55,1.27414781223856,6.17568810936385
488,2001,14,Female,50.9,8.12,1.31411606384822,6.80537865236993
489,2001,15,Male,60.1,11.06,1.3635176247358,6.02780127547469
490,2001,15,Female,52.2,8.53,1.45274066054094,7.48162005597245
491,2001,16,Male,61.7,10.67,1.52563233769201,7.20308161778855
492,2001,16,Female,53.2,8.14,1.25839251952711,6.29713216952101
493,2001,17,Male,62.8,10.47,1.54312512526884,7.41524096545756
494,2001,17,Female,53.2,8.11,1.40877328855314,7.28671459762476
495,2002,5,Male,19.2,2.77,1.56347427039348,8.8527844489779
496,2002,5,Female,18.9,2.72,1.24975351964437,6.75897566711072
497,2002,6,Male,21.7,3.64,1.64726859668741,8.34526281498517
498,2002,6,Female,21.1,3.49,1.55549458635222,8.1028498852688
499,2002,7,Male,24.3,4.48,1.72582380910526,7.94012392475766
500,2002,7,Female,23.8,4.2,1.54542614078007,7.43432633236868
501,2002,8,Male,27.7,5.61,1.6194016032836,7.05504752021197
502,2002,8,Female,26.9,5.19,1.44161273234935,6.41609062544788
503,2002,9,Male,31.2,6.87,1.63790195328162,7.19231437379251
